,Link,Preco,Localizacao,Area_Util_m2,Quartos,Suites,Vagas_Garagem
400,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-304-1180037,1650000.0,BRASÍLIA - ASA SUL,143,3.0,,
401,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sudoeste-brasilia-df-sqsw-304-1187537,2200000.0,BRASÍLIA - SUDOESTE,124,4.0,1.0,2.0
402,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-park-sul-brasilia-df-sgcv-lote-14-1069807,1090000.0,BRASÍLIA - PARK SUL,78,3.0,3.0,2.0
403,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sudoeste-brasilia-df-sqsw-104-1184919,1060000.0,BRASÍLIA - SUDOESTE,70,3.0,,1.0
404,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-sudoeste-brasilia-df-sqsw-303-bloco-j-1183905,1250000.0,BRASÍLIA - SUDOESTE,79,1.0,1.0,1.0
405,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-106-bloco-d-1163971,3130000.0,BRASÍLIA - NOROESTE,188,3.0,3.0,4.0
406,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sudoeste-brasilia-df-sqsw-101-1172220,1695000.0,BRASÍLIA - SUDOESTE,120,4.0,1.0,2.0
407,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-306-1174070,1580000.0,BRASÍLIA - ASA SUL,154,3.0,1.0,
408,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-trecho-1-1172511,850000.0,BRASÍLIA - ASA NORTE,53,1.0,1.0,1.0
409,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-211-1073966,189000.0,BRASÍLIA - ASA NORTE,31,1.0,,
410,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-shcgn-704-bloco-g-1173846,1395000.0,BRASÍLIA - ASA NORTE,121,4.0,1.0,1.0
411,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-115-bloco-f-1075622,2099000.0,BRASÍLIA - ASA NORTE,167,4.0,1.0,1.0
412,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-208-1173872,1500000.0,BRASÍLIA - ASA SUL,110,3.0,1.0,1.0
413,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-110-bloco-f-1142358,2190000.0,BRASÍLIA - NOROESTE,118,3.0,1.0,2.0
414,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sudoeste-brasilia-df-sqsw-102-1149311,1900000.0,BRASÍLIA - SUDOESTE,140,4.0,1.0,2.0
415,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-lago-norte-brasilia-df-ca-05-1113245,479000.0,BRASÍLIA - LAGO NORTE,40,1.0,1.0,1.0
416,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-park-sul-brasilia-df-sgcv-1151190,1020000.0,BRASÍLIA - PARK SUL,75,2.0,2.0,2.0
417,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-shcgn-716-1156144,689000.0,BRASÍLIA - ASA NORTE,57,2.0,,
418,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-102-bloco-j-1109954,1545000.0,BRASÍLIA - ASA SUL,112,3.0,1.0,1.0
419,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-211-1166599,2050000.0,BRASÍLIA - ASA SUL,126,3.0,1.0,1.0
420,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sudoeste-brasilia-df-ccsw-3-lote-1-1170223,1290000.0,BRASÍLIA - SUDOESTE,83,2.0,1.0,1.0
